analysis_id,fire_exposure_id,control_rank,sample_group,target,기상셀ID,기준시각,기후지형유형,month,hour,date,matched_control_n,full_5_matched,is_less_than_5_matched,is_february,is_2021_feb_cluster,is_ys0071,has_exact_hourly_row
FE_00162,FE_00162,,fire,1,YD_0008,2020-03-26 11:00:00,영동 해안형,3,11,2020-03-26,5,True,False,False,False,False,True
FE_00163,FE_00163,,fire,1,YD_0008,2020-11-24 14:00:00,영동 해안형,11,14,2020-11-24,5,True,False,False,False,False,True
FE_00164,FE_00164,,fire,1,YD_0008,2020-12-16 09:00:00,영동 해안형,12,9,2020-12-16,5,True,False,False,False,False,True
FE_00165,FE_00165,,fire,1,YD_0008,2021-01-16 12:00:00,영동 해안형,1,12,2021-01-16,5,True,False,False,False,False,True
FE_00166,FE_00166,,fire,1,YD_0008,2021-02-01 11:00:00,영동 해안형,2,11,2021-02-01,5,True,False,True,True,False,True
FE_00167,FE_00167,,fire,1,YD_0008,2021-02-01 12:00:00,영동 해안형,2,12,2021-02-01,5,True,False,True,True,False,True
FE_00168,FE_00168,,fire,1,YD_0008,2021-02-01 13:00:00,영동 해안형,2,13,2021-02-01,5,True,False,True,True,False,True
FE_00169,FE_00169,,fire,1,YD_0008,2021-02-01 14:00:00,영동 해안형,2,14,2021-02-01,5,True,False,True,True,False,True
FE_00170,FE_00170,,fire,1,YD_0008,2021-02-02 14:00:00,영동 해안형,2,14,2021-02-02,5,True,False,True,True,False,True
FE_00171,FE_00171,,fire,1,YD_0008,2021-02-20 08:00:00,영동 해안형,2,8,2021-02-20,5,True,False,True,True,False,True
FE_00172,FE_00172,,fire,1,YD_0008,2021-02-24 12:00:00,영동 해안형,2,12,2021-02-24,5,True,False,True,True,False,True
FE_00173,FE_00173,,fire,1,YD_0008,2021-03-14 14:00:00,영동 해안형,3,14,2021-03-14,5,True,False,False,False,False,True
FE_00174,FE_00174,,fire,1,YD_0008,2021-04-01 18:00:00,영동 해안형,4,18,2021-04-01,5,True,False,False,False,False,True
FE_00175,FE_00175,,fire,1,YD_0009,2020-03-21 14:00:00,영동 해안형,3,14,2020-03-21,5,True,False,False,False,False,True
FE_00176,FE_00176,,fire,1,YD_0009,2020-03-21 15:00:00,영동 해안형,3,15,2020-03-21,5,True,False,False,False,False,True
FE_00177,FE_00177,,fire,1,YD_0009,2020-03-21 17:00:00,영동 해안형,3,17,2020-03-21,5,True,False,False,False,False,True
FE_00178,FE_00178,,fire,1,YD_0009,2020-10-25 11:00:00,영동 해안형,10,11,2020-10-25,5,True,False,False,False,False,True
FE_00179,FE_00179,,fire,1,YD_0009,2020-11-30 11:00:00,영동 해안형,11,11,2020-11-30,5,True,False,False,False,False,True
FE_00180,FE_00180,,fire,1,YD_0009,2021-01-28 15:00:00,영동 해안형,1,15,2021-01-28,5,True,False,False,False,False,True
FE_00181,FE_00181,,fire,1,YD_0009,2021-01-29 19:00:00,영동 해안형,1,19,2021-01-29,5,True,False,False,False,False,True
FE_00182,FE_00182,,fire,1,YD_0009,2021-01-29 21:00:00,영동 해안형,1,21,2021-01-29,5,True,False,False,False,False,True
FE_00183,FE_00183,,fire,1,YD_0009,2021-01-30 06:00:00,영동 해안형,1,6,2021-01-30,5,True,False,False,False,False,True
FE_00184,FE_00184,,fire,1,YD_0009,2021-01-30 07:00:00,영동 해안형,1,7,2021-01-30,5,True,False,False,False,False,True
FE_00185,FE_00185,,fire,1,YD_0009,2021-03-11 14:00:00,영동 해안형,3,14,2021-03-11,5,True,False,False,False,False,True
FE_00186,FE_00186,,fire,1,YD_0009,2021-03-19 12:00:00,영동 해안형,3,12,2021-03-19,5,True,False,False,False,False,True
FE_00187,FE_00187,,fire,1,YD_0009,2021-04-25 10:00:00,영동 해안형,4,10,2021-04-25,5,True,False,False,False,False,True
FE_00188,FE_00188,,fire,1,YD_0010,2021-01-27 15:00:00,영동 해안형,1,15,2021-01-27,5,True,False,False,False,False,True
FE_00189,FE_00189,,fire,1,YD_0011,2020-04-04 03:00:00,영동 해안형,4,3,2020-04-04,5,True,False,False,False,False,True
FE_00190,FE_00190,,fire,1,YD_0011,2020-04-15 16:00:00,영동 해안형,4,16,2020-04-15,5,True,False,False,False,False,True
FE_00191,FE_00191,,fire,1,YD_0011,2020-12-10 10:00:00,영동 해안형,12,10,2020-12-10,5,True,False,False,False,False,True
